**chords	**function	**comments
I/bVI	T	T
I/bVI	T	.
IV/bVI	T	P
I/bVI	T	T
viio2	P	.
V7	D	.
I64	D	.
V7	D	.
I	T	.
I/bVI	T	T
I/bVI	T	.
IV/bVI	T	P
I/bVI	T	T
viio2	P	.
V7	D	.
V7/IV	D	.
I/IV	T	.
I/IV	T	.
IV/IV	T	P
I/IV	T	T
V65/Ab	T	.
I/Ab	T	.
I/Ab	T	.
IV/Ab	T	P
I/Ab	T	T
IV/Ab	T	P
I/Ab	T	T
IV/Ab	T	P
I/Ab	T	T
IV/Ab	T	P
I/Ab	T	T
I/Ab	T	.
iv/Ab	T	.
V	D	.
I64	D	.
I64	D	.
V	D	.
I64	D	.
V	D	.
I	T	.
V6	T	.
I	T	.
IV6	T	P
viio	T	D
IV	T	P
viio	T	D
V6/vi	T	.
vi	T	T
ii6	P	.
V7	D	.
I	T	.
vi	T	.
ii6	P	.
V7	D	.
r	D	.
