**chords	**function	**comments
I64	D	.
I64	D	.
I64	D	.
V7	D	.
V7	D	.
V7	D	.
V	D	.
V7	D	.
I64	D	.
V7	D	.
I64	D	.
V65	D	.
I	D	.
V64	D	.
I6	D	.
V7	D	.
i64	D	.
V7	D	.
i64	D	.
V65	D	.
i	D	.
V64	D	.
i6	D	.
V	D	.
i64	D	.
V65	D	.
i	D	.
V/bVI	D	T
I64/bVI	D	.
V65/bVI	D	.
I/bVI	D	.
V/iv	D	P
i64/iv	D	.
V65/iv	D	.
iv	D	.
iv6	D	.
N6	D	.
N	D	.
viio7	D	D
viio2	D	.
viio43	D	.
viio6	D	.
viio	D	.
V	D	.
V	D	.
V7	D	.
V7	D	.
vi	D	T
V7/vi	D	.
IV	D	P
viio7/ii	D	.
ii	D	.
Cto7	D	.
I6	D	T
I6+	D	.
IV	D	P
V65/V	D	.
I64	D	D
I64	D	.
I64	D	.
V7	D	.
V7	D	.
V7	D	.
V7	D	.
V7	D	.
